title,organization,created,updated,num_resources,notes,year
California Grants Portal Grant Awards 2023-2024,California State Library,2023-06-30 22:47:07.196675,2026-04-14T08:35:47.422436,1,"Per AB132 grantmakers are required to submit data about each awardee for grants that close on or after July 1, 2022. Visit the Glossary on https://www.grants.ca.gov/glossary to review post award data elements. You can view post award data at the bottom of the grant details page. Note that grantmakers may take up to one year to submit post award data. This grant award data is only for Fiscal Year 2023-2024.",2023
California Grants Portal- Grants Offered,California State Library,2020-06-18 22:10:17.580393,2026-04-14T08:01:01.979920,1," The Grant Information Act of 2018 (Stats. 2018, Ch. 318) required the State Library to build one website by July 1, 2020, “that provides a centralized location … to find state grant opportunities.” State agencies provide all information on grants.ca.gov to the State Library for publication. The Grant Information Act requires state agencies to provide summaries of each of their grant or loan opportunities, including information about how to apply and links that grantseekers can follow for more details. 

*FYI* If you're not familiar with data.ca.gov, you can download the csv and find the API call by clicking on the ""Explore"" button below. 

*Note*: the data set updates every 24 hours at 8:45pm.",2020
Hazardous Waste Id Numbers,California Department of Toxic Substances Control,2022-03-24 18:07:37.947966,2026-04-14T07:04:23.965110,1,"Hazardous waste identification (ID) numbers are issued by the U.S. Environmental Protection Agency (Federal EPA ID number) or by the Department of Toxic Substances Control (California State ID number). The ID number identifies each handler of hazardous waste on hazardous waste manifests and other paperwork. The ID number enables regulators to track the waste from its origin to final disposal, a process also referred to as “cradle to grave.” With a few exceptions, most hazardous waste generators must have an ID number before a registered hazardous waste transporter will accept their waste for shipment. All hazardous waste transporters and permitted treatment, storage, and disposal facilities (TSDFs) must have a hazardous waste ID number. For more information, please go to https://dtsc.ca.gov/hazardous-waste-id-numbers/.",2022
Power Outage Incidents,California Office of Emergency Services,2025-07-29 06:44:50.209723,2026-04-14T06:26:35.118199,11,"<p>The power outages in this layer are pulled directly from the utility public power outage maps and is automatically updated every 15 minutes. This dataset represents only the most recent power outages and does not contain any historical data.&nbsp;<br />&nbsp;</p><div>&nbsp;</div><div>The following utility companies are included:</div><div><ul><li>Pacific Gas and Electric (PG&amp;E)</li><li>Southern California Edison (SCE)</li><li>San Diego Gas and Electric (SDG&amp;E)</li><li>Sacramento Municipal Utility District (SMUD)</li></ul><div>Layers included in this dataset:</div></div><div><ul><li><strong>Power Outage Incidents</strong> - Point layer that shows data from all of the utilities and is best for showing a general location of the outage and driving any numbers in dashboards.</li><li><strong>Power Outage Areas</strong> - Polygon layer that shows rough power outage areas from PG&amp;E only (They are the only company that feeds this out publicly). With in the PG&amp;E territory this layer is useful to show the general area out of power. The accuracy is limited by how the areas are drawn, but is it good for a visual of the impacted area.</li><li><strong>Power Outages by County</strong> - This layer summaries the total impacted customers by county. This layer is good for showing where outages are on a statewide scale.</li></ul></div><div>&nbsp;</div><div>If you have any questions about this dataset please email&nbsp;<a href='mailto:gis@caloes.ca.gov' target='_blank' rel='nofollow ugc noopener noreferrer'>GIS@caloes.ca.gov&nbsp;</a></div>",2025
Power Outage Areas,California Office of Emergency Services,2025-07-29 06:44:52.004464,2026-04-14T06:26:39.154392,11,"<p>The power outages in this layer are pulled directly from the utility public power outage maps and is automatically updated every 15 minutes. This dataset represents only the most recent power outages and does not contain any historical data.&nbsp;<br />&nbsp;</p><div>&nbsp;</div><div>The following utility companies are included:</div><div><ul><li>Pacific Gas and Electric (PG&amp;E)</li><li>Southern California Edison (SCE)</li><li>San Diego Gas and Electric (SDG&amp;E)</li><li>Sacramento Municipal Utility District (SMUD)</li></ul><div>Layers included in this dataset:</div></div><div><ul><li><strong>Power Outage Incidents</strong> - Point layer that shows data from all of the utilities and is best for showing a general location of the outage and driving any numbers in dashboards.</li><li><strong>Power Outage Areas</strong> - Polygon layer that shows rough power outage areas from PG&amp;E only (They are the only company that feeds this out publicly). With in the PG&amp;E territory this layer is useful to show the general area out of power. The accuracy is limited by how the areas are drawn, but is it good for a visual of the impacted area.</li><li><strong>Power Outages by County</strong> - This layer summaries the total impacted customers by county. This layer is good for showing where outages are on a statewide scale.</li></ul></div><div>&nbsp;</div><div>If you have any questions about this dataset please email&nbsp;<a href='mailto:gis@caloes.ca.gov' target='_blank' rel='nofollow ugc noopener noreferrer'>GIS@caloes.ca.gov&nbsp;</a></div>",2025
Power Outages by County,California Office of Emergency Services,2025-07-29 06:44:53.800157,2026-04-14T06:26:43.328080,11,"<p>The power outages in this layer are pulled directly from the utility public power outage maps and is automatically updated every 15 minutes. This dataset represents only the most recent power outages and does not contain any historical data.&nbsp;<br />&nbsp;</p><div>&nbsp;</div><div>The following utility companies are included:</div><div><ul><li>Pacific Gas and Electric (PG&amp;E)</li><li>Southern California Edison (SCE)</li><li>San Diego Gas and Electric (SDG&amp;E)</li><li>Sacramento Municipal Utility District (SMUD)</li></ul><div>Layers included in this dataset:</div></div><div><ul><li><strong>Power Outage Incidents</strong> - Point layer that shows data from all of the utilities and is best for showing a general location of the outage and driving any numbers in dashboards.</li><li><strong>Power Outage Areas</strong> - Polygon layer that shows rough power outage areas from PG&amp;E only (They are the only company that feeds this out publicly). With in the PG&amp;E territory this layer is useful to show the general area out of power. The accuracy is limited by how the areas are drawn, but is it good for a visual of the impacted area.</li><li><strong>Power Outages by County</strong> - This layer summaries the total impacted customers by county. This layer is good for showing where outages are on a statewide scale.</li></ul></div><div>&nbsp;</div><div>If you have any questions about this dataset please email&nbsp;<a href='mailto:gis@caloes.ca.gov' target='_blank' rel='nofollow ugc noopener noreferrer'>GIS@caloes.ca.gov&nbsp;</a></div>",2025
California Evacuation Aggregation Layer,California Office of Emergency Services,2025-07-29 06:44:47.335757,2026-04-14T06:26:49.449149,11,"<div>This feature service is an aggregation of multiple California County Evacuation Zone services that are being refreshed every 10 minutes. The schema used mirrors the Zonehaven (now Genysys) Schema. This service is fully updated every 10 minutes from county sources. <span style='color:rgb(255, 0, 0);'><i><u>During the update, there may be a brief period (~1 min) where the service is rebuilding and not all features are visible.</u></i></span><br /></div><div></div><p><strong>Updated Frequency</strong>: <i><strong><u>10 minutes</u></strong></i></p><div><strong>Contact</strong>: <a href='mailto:William.Ferguson@CalOES.ca.gov' target='_blank' rel='nofollow ugc noopener noreferrer'>gissupport@caloes.ca.gov</a><b><font size='3'> <br /><br /></font></b></div><div></div><div><span style='color:rgb(51, 71, 91); font-family:Roboto; font-size:16px;'><strong><u>Symbology</u></strong></span><br /></div><div></div><div><figure style='height:427px; width:688px;'><table border='1' cellpadding='4' style='border-collapse:collapse; border-style:solid; color:rgb(51, 71, 91); font-family:Roboto; font-size:16px; margin:0px 0px 0.625rem; max-width:100%;'><tbody><tr style='box-sizing:border-box; height:61px;'><td style='border-color:inherit; box-sizing:border-box; height:61px; width:141px;'><strong>Status</strong></td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:94px;'><strong>Color Hex Value</strong></td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:75px;'><strong>Color Name</strong></td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:67px;'><strong>Color</strong></td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:310px;'><strong>Description</strong></td></tr><tr style='box-sizing:border-box; height:35px;'><td style='border-color:inherit; box-sizing:border-box; height:35px; width:141px;'>NORMAL</td><td style='border-color:inherit; box-sizing:border-box; height:35px; width:94px;'>#FFFFFF</td><td style='border-color:inherit; box-sizing:border-box; height:35px; width:75px;'>White</td><td style='border-color:inherit; box-sizing:border-box; height:35px; width:67px;'></td><td style='border-color:inherit; box-sizing:border-box; height:35px;'>No active public safety incidents.</td></tr><tr style='box-sizing:border-box; height:113px;'><td style='border-color:inherit; box-sizing:border-box; height:113px; width:141px;'>EVACUATION WARNING</td><td style='border-color:inherit; box-sizing:border-box; height:113px; width:94px;'>#E5C447</td><td style='border-color:inherit; box-sizing:border-box; height:113px; width:75px;'>Yellow</td><td style='border-color:inherit; box-sizing:border-box; height:113px; width:67px;'><figure style='width:25px;'><img src='https://help.zonehaven.com/hs-fs/hubfs/undefined.png?width=25&amp;name=undefined.png' style='box-sizing:border-box; display:block; margin:0px auto; max-width:100%;' width='25' width='25&amp;name=undefined.png' /></figure></td><td style='border-color:inherit; box-sizing:border-box; height:113px; width:310px;'>Potential threat to life and/or property. Those who require additional time to evacuate, and those with pets and livestock should leave now.</td></tr><tr style='box-sizing:border-box; height:61px;'><td style='border-color:inherit; box-sizing:border-box; height:61px; width:141px;'>EVACUATION ORDER</td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:94px;'>#D37072</td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:75px;'>Red</td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:67px;'><figure style='width:25px;'><img src='https://help.zonehaven.com/hs-fs/hubfs/undefined-1.png?width=25&amp;name=undefined-1.png' style='box-sizing:border-box; display:block; margin:0px auto; max-width:100%;' width='25' width='25&amp;name=undefined-1.png' /></figure></td><td style='border-color:inherit; box-sizing:border-box; height:61px; width:310px;'>Immediate threat to life. This is a lawful order to leave now. The area is lawfully closed to public access.</td></tr></tbody></table><a href='https://calema.maps.arcgis.com/home/item.html?id=c685585b99da416fa6ab70027597ad47#overview' style='font-size:large;' target='_blank' rel='nofollow ugc noopener noreferrer'>Inventory of Counties</a><span style='font-size:large;'> whose Evacuation Order information is publicly shared by Cal OES through the </span><a href='https://calema.maps.arcgis.com/home/item.html?id=c0dd2a8779764c26910b83a7e974ee66&amp;view=list&amp;sortOrder=desc&amp;sortField=defaultFSOrder#overview' style='font-size:large;' target='_blank' rel='nofollow ugc noopener noreferrer'>California Active Evacuation Zones</a><span style='font-size:large;'> feature service.</span><br /></figure></div>",2025
Surface Water - Freshwater Harmful Algal Blooms,California State Water Resources Control Board,2019-08-10 03:26:02.549594,2026-04-14T01:21:04.325590,6,"Freshwater harmful algal bloom (HAB) data from the Freshwater Harmful Algal Bloom (FHAB) data system. The FHAB data system is the California State Water Resources Control Board's data system for data and information voluntarily reported to the agency. Bloom reports are voluntary reports submitted by the public or organization to identify a POTENTIAL HAB for evaluation. Bloom Reports may or may not include a report that is confirmed to be a HAB, regardless, all bloom reports are published. Due to the voluntary basis of information and data included in the database, data and information may include: waterbody name and location, potential algal bloom location and observed characteristics, observed field observations and/or analytical sampling results, waterbody and/or land management, general information, recommended advisory status (if any), and updates regarding bloom status. Refer to Data Dictionary and Data Disclaimer for additional information about this dataset. Please visit the Water Boards FHABS web site for more information and data visualizations https://mywaterquality.ca.gov/habs/index.html. 
",2019
California WIC Authorized Product List,California Department of Public Health,2023-12-04 23:06:14.043506,2026-04-14T18:05:00.678719,3,"This dataset represents the list of CA WIC authorized food items identified by food category and subcategory. Each item is uniquely identified by a Universal Product Code (UPC) or Price Look-Up code (PLU) for WIC electronic benefit transfer (EBT). The WIC Authorized vendors use the CA Authorized Product List (APL) to transact WIC food items at cash registers. The APL plays a crucial role in supporting WIC EBT purchases. WIC EBT requires vendor systems to maintain the APL to match the scanned food items' UPCs to ensure they are on the APL. The food items identified by UPC and PLU can be found in the data files below. When you download the files, Excel may prompt you to automatically format the data. If prompted, you may want to hit ‘Don’t Convert’ so that Excel leaves the data as is without any formatting or data conversions.

The Women, Infants and Children (WIC) Program is a federally-funded health and nutrition program that provides assistance to pregnant women, new mothers, infants, and children under age five. WIC helps California families by providing food benefits to individual participants based on their nutritional need and risk assessment. The food benefits can be used to purchase healthy supplemental foods from approximately 3,800 WIC authorized vendor stores throughout the State. WIC also provides nutritional education, breastfeeding support, healthcare referrals, and other community services. Participants must meet income guidelines and other criteria. Currently, 84 WIC agencies provide services monthly to approximately one million participants at several hundred sites in local communities throughout the State.",2023
Cal-ITP GTFS-Ingest Pipeline Dataset,Caltrans,2021-06-09 23:35:32.271944,2026-04-14T00:13:03.055789,29,"Cal-ITP collects the GTFS feeds from a statewide list every night and aggregates it into a statewide table for analysis purposes only. Do not use for trip planner ingestion, rather is meant to be used for statewide analytics and other use cases. Note: These data may or may or may not have passed GTFS-Validation",2021
Well Completion Reports,California Department of Water Resources,2025-07-18 00:24:14.772561,2026-04-14T05:19:47.298359,15,"This Well Completion Report dataset represents an index of records from the California Department of Water Resources' (DWR) Online System for Well Completion Reports (OSWCR). This dataset is for informational purposes only. All attribute values should be verified by reviewing the original Well Completion Report. Known issues include: - Missing and duplicate records - Missing values (either missing on original Well Completion Report, or not key entered into database) - Incorrect values (e.g. incorrect Latitude, Longitude, Record Type, Planned Use, Total Completed Depth) - Limited spatial resolution: The majority of well completion reports have been spatially registered to the center of the 1x1 mile Public Land Survey System section that the well is located in.",2025
CalHHS Dataset Catalog,California Health and Human Services Agency,2024-08-21 16:46:14.249519,2026-04-14T00:08:02.081728,2,This dataset is a catalog of all the datasets available on the CalHHS Open Data Portal. Each item in the catalog represents a dataset and includes the associated metadata and additional information.,2024
Licensed Mental Health Rehabilitation Centers (MHRC) and Psychiatric Health Facilities (PHF),California Department of Health Care Services,2023-08-11 01:20:37.859679,2026-04-14T16:06:22.349844,3,"This dataset contains an alphabetical list, by county, of all Mental Health Rehabilitation Centers (MHRC) and Psychiatric Health Facilities (PHF) licensed by the Department of Health Care Services (DHCS). Within DHCS, the Licensing and Certification Division (LCD), Licensing Branch 2, Mental Health Licensing (MHL) Section is responsible for assuring that quality mental health treatment and services are provided to all program participants in a safe and healthy environment through licensure and oversight of a statewide system of 24-hour psychiatric and rehabilitation care facilities.",2023
"CDPH-Wastewater Surveillance Data, California",California Department of Public Health,2024-09-06 18:05:12.525103,2026-04-14T18:05:07.093639,7,"The California Department of Public Health (CDPH) is coordinating with wastewater utilities, local health departments, academic researchers, and laboratories in California on wastewater surveillance for infectious disease pathogens of interest to public health (such as SARS-CoV-2, the virus causing COVID-19, influenza, respiratory syncytial virus (RSV), mpox, and norovirus). Data collected from this network of participants, called the California Surveillance of Wastewaters (Cal-SuWers) Network, are submitted to the U.S. Centers for Disease Control and Prevention (CDC) National Wastewater Surveillance System (NWSS). 

Collecting and analyzing wastewater samples for the presence of, and amount of (concentration), a specified pathogen target can help inform public health about circulation of that infectious disease within a community. Data from wastewater testing do not replace existing public health surveillance systems but complement them. While wastewater surveillance cannot determine the exact number of infected persons in the area being monitored, it can provide overall trends of pathogen concentration within that community. 

Please note that data included in the Cal-SuWers Network and available here originate from multiple programs and laboratories. Methodologies for producing wastewater data are not currently standardized, and analyses, comparisons, and aggregations should be done with caution. Wastewater is a complex environmental sample and inherent variability in measured concentrations is expected due to environmental variability, day-to-day differences in sewershed and population dynamics, differences in the amount of shedding between people and pathogens, and laboratory and sampling variability. Please see the CDPH Cal-SuWers, CDC NWSS, and CDC Public Health interpretation and Use of Wastewater Surveillance data webpages for more information.

Historical wastewater data can be found [here](https://data.ca.gov/dataset/covid-19-wastewater-surveillance-data-california).",2024
SWAMP Data Dashboard,California State Water Resources Control Board,2021-02-25 22:46:00.766996,2026-04-13T20:58:05.301230,10,"This dataset supports the [SWAMP Data Dashboard](https://gispublic.waterboards.ca.gov/swamp-data/), a public-facing tool developed by the [Surface Water Ambient Monitoring Program](https://www.waterboards.ca.gov/water_issues/programs/swamp/) (SWAMP) to provide accessible, user-friendly access to water quality monitoring data across California. The dashboard and its associated datasets are designed to help the public, researchers, and decision-makers explore and download monitoring data collected from California’s surface waters.

This dataset includes five distinct resources:

* __SWAMP Stations__ – Geospatial and descriptive information about SWAMP monitoring sites.
* __Water Quality Results__ – Field and lab analysis results for chemical and physical parameters measured in water samples.
* __Toxicity Summary Results__ – Summarized results from aquatic toxicity tests. Summary records are entries in the database that summarize the results from multiple replicate toxicity tests of the same sample water.
* __Habitat Results__ – Data on physical habitat conditions typically collected alongside biological monitoring to provide context for interpreting water quality conditions. Includes scores for the California Stream Condition Index (CSCI) and Algal Stream Condition Index (ASCI).
* __Tissue Summary Results__ – Annual summary statistics of contaminant concentrations in aquatic organism tissue samples. The data are derived from raw individual and composite tissue sample results. 

These data are collected by SWAMP and its partners to support water quality assessments, identify trends, and inform water resource management. The SWAMP Data Dashboard provides interactive visualizations and filtering tools to explore this data by region, parameter, and more.

The SWAMP dataset is sourced from the [California Environmental Data Exchange Network](https://ceden.waterboards.ca.gov) (CEDEN), which serves as the central repository for water quality data collected by various monitoring programs throughout the state. As such, there is some overlap between this dataset and the broader CEDEN datasets also published on the California Open Data Portal (see Related Resources). This SWAMP dataset represents a curated subset of CEDEN data, specifically tailored for use in the SWAMP Data Dashboard.

Access the SWAMP Data Dashboard: https://gispublic.waterboards.ca.gov/swamp-data/

_*This dataset is provisional and subject to revision. It should not be used for regulatory purposes._",2021
Stormwater - Regulatory (including Enforcement Actions) Information and Water Quality Results,California State Water Resources Control Board,2019-08-10 05:05:30.774587,2026-04-13T19:41:34.889259,7,"This dataset looks at all aspects of storm water management in California as managed and regulated by the State Water Resources Control Board, from the **[Stormwater Multiple Application and Report Tracking System (SMARTS)](https://smarts.waterboards.ca.gov)**.
",2019
Quantifying Southern Sea Otter Reactions to a Quadcopter Drone - Central California - 2020-2022,California Department of Fish and Wildlife,2026-04-14 04:16:33.418921,2026-04-14T04:16:33.418926,2,"These data include sea otter behavior codes, drone altitudes, sea otter demographic information, and environmental conditions. This project involved documenting sea otter behaviors in the absence and presence of a quadcopter drone to determine the impact of the drone on sea otter behavior. The purpose of the project was to inform guidelines for minimizing drone disturbance to sea otters.

This data and metadata were submitted by California Department of Fish and Wildlife (CDFW) Staff though the Data Management Plan (DMP) framework with the id: DMP000734. For more information, please visit https://wildlife.ca.gov/Data/Sci-Data.",2026
